u,f,kernel,lambda,a,b,u_is_polynomial,u_is_trigonometric,u_is_hyperbolic,u_is_exponential,u_max_degree,f_is_polynomial,f_is_trigonometric,f_is_hyperbolic,f_is_exponential,f_max_degree,kernel_is_polynomial,kernel_is_trigonometric,kernel_is_hyperbolic,kernel_is_exponential,kernel_max_degree,lambda_is_polynomial,lambda_is_trigonometric,lambda_is_hyperbolic,lambda_is_exponential,lambda_max_degree
0.057382731992567101*x*exp(-x) - 0.8115825931705718, -11225.029539640419*x + 0.057382731992567101*x*exp(-x) - 0.8115825931705718, -x, 3.9244390454675155, -8.864797536756356, -6.899624476338822,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1,True,False,False,False,1
x**3, x**3 + 7877.246541864457*x*exp(5*x) + 7877.246541864457*x + 2662337.172012604, t**3 - x*exp(5*x) - x - 8.073990145821444, -8.08449607469204, -8.067146154895148, 4.287106644629796,True,False,False,False,3,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1
-0.07519075701007109*x**5, -0.07519075701007109*x**5 + 231.02659808577661*x + 231.02659808577661*cos(cos(x)) + 26867.982196851652, 7.009645371347268*t - 6.009645371347268*x - 6.009645371347268*cos(cos(x)) - 742.62260293007226, -4.053228965430733, 6.2292131082672455, 6.242589828856609,True,False,False,False,5,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1
x**2, x**2 - 197.6998000471692 + 2896.198351712632/(29.56885182775427*exp(x) + 0.1122042005259694), t**2/(-5.913770365550855*exp(x) - 0.02244084010519387) - t, 7.4429100114680615, -3.271834586878759, 1.6997027264372342,True,False,False,False,2,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1
x**4 - x + 11.525446811510554, x**4 - x - 60020.948673271976*tanh(x**2) + 11.525446811510554, -1.17933830832202*tanh(x**2), -4.692557821441127, -8.801088942573232, 3.5313257896879655,True,False,False,False,4,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
x**5 - 60.16354723077806*x**2 + 3.3399877353411172*x + 98128.53647497113, x**5 - 448.39883781498854*x**2 + 3.3399877353411172*x - 2265589.1058836915, -0.1207633121044469*t*(0.000158532222503276*x**2 + 0.9652018255461563), -7.020220139633326, -4.23730934373336, 8.357479287957766,True,False,False,False,5,True,False,False,False,5,True,False,False,False,2,True,False,False,False,1
-3.889903382858284, -132.3254871923563*x**2 - 1149.148487312063*x*tanh(x) + 129.8472055635468*x + 24.05410241268039, -0.2152068323246508*t + x*(-t + 7.393236978351073*x + 64.20476712593963*tanh(x)), -9.700290499374047, 7.017603832123605, 7.491938994081391,True,False,False,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
5.954942528187546, -209.7150485923876*tan(cos(x - 1)) - 20220.91884794891, -t**3 - tan(cos(x - 1)) - 7.015099657630732, -5.33285185553162, 0.3679408040522265, 6.971719359831706,True,False,False,False,1,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1
x, -94.049187737978178*x**2 - 93.049187737978178*x - 12.019730891985921*cosh(log(cos(x**2))) - 35314.8098869497, t**3 + x**2 + x + 0.12780260182015598*cosh(log(cos(x**2))), 3.0467218882531277, -4.230955091322031, 8.924064930425011,True,False,False,False,1,False,True,True,False,1,False,True,True,False,1,True,False,False,False,1
x + 64.3430851897415*cosh(x), x + 64.3430851897415*cosh(x) + 128373.073007867, t**2, -9.633226501229961, 0.46711439676969846, 3.827302257316658,False,False,True,False,1,False,False,True,False,1,True,False,False,False,2,True,False,False,False,1
